sales_order,customer_name,business_partner_id,customer_reference,document_date,requested_delivery_date,requested_lead_days,overall_status,net_value_eur
709,The Bike Zone 771,1004142,771,2026-03-27,2026-04-27,31,Open,20092.5
708,The Bike Zone 438,1003481,438,2026-03-01,2026-04-01,31,Completed,20092.5
706,The Bike Zone 409,1003632,409,2026-02-28,2026-03-07,7,Completed,12000.0
705,The Bike Zone 384,1003629,384,2026-02-28,2026-03-07,7,In Process,12000.0
704,The Bike Zone239,1004124,239,2026-02-28,2026-03-07,7,Completed,12000.0
703,The Bike Zone 372,1003884,372,2026-02-28,2026-03-07,7,Completed,12000.0
702,The Bike Zone 372,1003884,372,2026-02-28,2026-03-07,7,Completed,12000.0
701,The Bike Zone 401,1003844,401,2026-02-28,2026-03-07,7,Completed,12000.0
700,The Bike Zone 376,1003979,376,2026-02-28,2026-03-06,6,Completed,12000.0
699,The Bike Zone 165,1003387,387,2026-02-28,2026-03-14,14,Completed,12000.0
698,The Bike Zone 352,1003837,352,2026-02-28,2026-03-09,9,Completed,12000.0
697,The Bike Zone 404,1003834,404,2026-02-28,2026-03-07,7,Completed,12000.0
696,The Bike Zone 380,1003857,380,2026-02-28,2026-03-08,8,Completed,12000.0
695,The Bike Zone 352,1003837,352,2026-02-28,2026-03-07,7,Open,12000.0
694,The Bike Zone 380,1003857,380,2026-02-28,2026-02-28,0,Completed,12000.0
693,The Bike Zone 360,1003814,360,2026-02-28,2026-03-07,7,Completed,12000.0
692,The Bike Zone 400,1003626,400,2026-02-28,2026-03-07,7,Completed,12000.0
691,The Purple Zone 390,1004120,390,2026-02-28,2026-02-28,0,Not Relevant,0.0
690,The Bike Zone 402,1003607,402,2026-02-28,2026-03-07,7,Completed,12000.0
689,The Bike Zone 355,1003832,355,2026-02-28,2026-03-07,7,Completed,12000.0
688,The Bike Zone 397,1003821,397,2026-02-28,2026-03-07,7,Completed,12000.0
687,The Bike Zone 399,1003789,399,2026-02-28,2026-03-07,7,Completed,12000.0
686,The Bike Zone 379,1003849,379,2026-02-28,2026-03-07,7,Completed,12000.0
685,The Bike Zone 369,1003796,369,2026-02-28,2026-03-07,7,Completed,12000.0
684,The Bike Zone 393,1003712,393,2026-02-28,2026-03-07,7,Completed,12000.0
683,The Bike Zone 381,1003825,381,2026-02-28,2026-03-07,7,Completed,12000.0
682,The Bike Zone 394,1003818,394,2026-02-28,2026-03-07,7,Completed,12000.0
681,The Bike Zone 377,1003810,377,2026-02-28,2026-03-07,7,Completed,12000.0
680,Philly Bikes,127376,376,2026-02-28,2026-04-06,37,In Process,6080.0
679,Philly Bikes,127218,218,2026-02-28,2026-04-10,41,Completed,3040.0
678,The Bike Zone 213,1003934,213,2026-02-27,2026-04-10,42,Completed,3200.0
677,Philly Bikes,127007,201,2026-02-27,2026-04-10,42,Completed,3000.0
676,The Bike Zone 218,1004099,218,2026-02-27,2026-03-13,14,Completed,6400.0
675,Philly Bikes,127004,201,2026-02-27,2026-02-27,0,Not Relevant,0.0
674,The Bike Zone 232,1003812,232,2026-02-27,2026-03-06,7,Completed,6400.0
673,The bike Zone #219,1003943,order3,2026-02-27,2026-03-13,14,Open,6000.0
672,The Bike Zone 201,1003925,201,2026-02-27,2026-02-27,0,Completed,6000.0
671,Philly Bikes,127218,218,2026-02-27,2026-02-27,0,Completed,9000.0
670,Philly Bikes,127210,210,2026-02-27,2026-04-10,42,Completed,5700.0
669,The Bike Zone 213,1003934,213,2026-02-27,2026-03-13,14,Completed,6400.0
668,The Bike Zone 226,1003957,Order 2,2026-02-27,2026-02-27,0,Completed,9000.0
667,The Bike Zone 210,1003758,210,2026-02-27,2026-02-27,0,Completed,6000.0
666,Philly Bikes,127249,249,2026-02-27,2026-04-10,42,Completed,3040.0
665,Philly Bikes,127202,PHB202-04,2026-02-27,2026-04-10,42,Completed,21850.0
664,Philly Bikes,127001,201,2026-02-27,2026-03-27,28,Completed,9000.0
663,Philly Bikes,127232,232,2026-02-27,2026-03-27,28,Completed,9000.0
662,Philly Bikes,127000,251,2026-02-27,2026-04-10,42,Open,3040.0
661,The Bike Zone 226,1003957,ORDER 4,2026-02-27,2026-02-27,0,Completed,6000.0
660,The Bike Zone 371,1003731,371,2026-02-27,2026-03-06,7,Completed,5600.0
659,Philly Bikes,127210,210,2026-02-27,2026-02-27,0,Completed,9000.0
658,The Bike Zone 202,1003960,BZ202-Q3,2026-02-27,2026-03-13,14,Completed,46000.0
657,The Bike Zone 359,1003847,359,2026-02-27,2026-03-06,7,Completed,12000.0
656,The Bike Zone 202,1003960,BZ202-Q3,2026-02-27,2026-03-13,14,Open,6400.0
655,The Bike Zone 218,1004099,218,2026-02-27,2026-03-06,7,Completed,12000.0
654,Philly Bikes,127202,PHB202,2026-02-27,2026-03-27,28,Completed,65550.0
653,The Bike Zone 249,1003911,249,2026-02-27,2026-03-13,14,Completed,6400.0
652,The Bike Zone 385,1003725,385,2026-02-27,2026-03-06,7,Completed,12000.0
651,The Bike Zone 226,1003957,Order 3,2026-02-27,2026-03-13,14,Completed,6000.0
650,The Bike Zone 385,1003725,385,2026-02-27,2026-03-06,7,Completed,12000.0
649,Philly Bikes,127000,013,2026-02-27,2026-03-29,30,Completed,4200.0
648,The Bike Zone 202,1003960,PO202,2026-02-27,2026-02-27,0,Completed,12000.0
647,The Bike Zone 202,1003960,PO202,2026-02-27,2026-02-27,0,Open,12000.0
646,The Bike Zone 231,1003909,231,2026-02-27,2026-04-10,42,Completed,3040.0
645,Philly Bikes,127204,204,2026-02-27,2026-04-10,42,Completed,3040.0
644,Philly Bikes,127212,212,2026-02-27,2026-04-10,42,Completed,3040.0
643,Philly Bikes,127259,259,2026-02-27,2026-04-10,42,Completed,3040.0
642,Philly Bikes,127231,231,2026-02-27,2026-02-27,0,Open,3040.0
641,The Bike Zone 256,1003757,256,2026-02-27,2026-02-27,0,Completed,12000.0
640,The Bike Zone 231,1003909,231,2026-02-27,2026-03-13,14,Completed,6000.0
639,Philly Bikes,127256,256,2026-02-27,2026-03-27,28,Completed,3040.0
638,Philly Bikes,127231,231,2026-02-27,2026-03-27,28,Completed,9000.0
637,The Bike Zone 204,1003933,204,2026-02-27,2026-03-13,14,Completed,6400.0
636,The  Bike Zone 259,1003784,259,2026-02-27,2026-03-13,14,Completed,6400.0
635,The Bike Zone 212,1003881,212,2026-02-27,2026-03-13,14,Completed,6400.0
634,The bike Zone #219,1003943,Order1,2026-02-27,2026-03-06,7,Completed,12000.0
633,The Bike Zone 201,1003925,201,2026-02-27,2026-03-06,7,Completed,12000.0
632,Philly Bikes,127211,211,2026-02-27,2026-04-10,42,Open,3200.0
631,Philly Bikes,127258,258,2026-02-27,2026-04-10,42,Open,3040.0
630,Philly Bikes,127212,212,2026-02-27,2026-03-13,14,Open,6400.0
629,Philly Bikes,127211,211,2026-02-27,2026-04-10,42,Open,3200.0
628,Philly Bikes,127258,258,2026-02-27,2026-04-10,42,Open,3200.0
627,Philly Bikes,127258,258,2026-02-27,2026-04-10,42,Completed,3040.0
626,Philly Bikes,127216,258,2026-02-27,2026-04-10,42,Completed,3040.0
